resource_id,metric_name,current_value,growth_rate_per_day,projected_30d,projected_60d,projected_90d,crosses_80_threshold,projected_breach_date,service_tag,region
vm-dev-01,cpu_utilization,8.045600594675854,0.0010345486549825163,8.074083865842018,8.105120325491495,8.136156785140969,0,nan,development,centralus
vm-dev-01,memory_utilization,12.004708798509835,-0.0006897932727315473,11.970308418662196,11.949614620480249,11.928920822298302,0,nan,development,centralus
vm-prod-01,cpu_utilization,45.83351164214512,0.006496885092038037,45.519640778452896,45.714547331214035,45.909453883975175,0,nan,compute,centralus
vm-prod-01,memory_utilization,54.94354804114387,3.358008046286235e-05,55.026815447107374,55.02782284952126,55.02883025193515,0,nan,compute,centralus
vm-prod-02,cpu_utilization,64.34040496512381,0.5003591964783772,82.18219238151791,97.19296827586922,100.0,1,2026-08-31,compute,centralus
vm-prod-02,memory_utilization,60.03653863365331,0.0001221696114031384,60.022543551568965,60.026208639911054,60.02987372825315,0,nan,compute,centralus
vm-scale-01,cpu_utilization,51.691525289693416,-0.18276304819321834,43.45247279973481,37.96958135393825,32.486689908141706,0,nan,compute,eastus
vm-scale-02,cpu_utilization,55.41031649485844,0.06266256750797206,57.507969847233184,59.387846872472345,61.267723897711505,0,2027-09-27,compute,centralus
vm-scale-03,cpu_utilization,53.18089713199593,-0.0015201009545815721,54.48968812438736,54.444085095749905,54.39848206711246,0,nan,compute,centralus
vm-scale-04,cpu_utilization,50.86406771187345,0.03214750059932239,53.976380307941625,54.940805325921296,55.90523034390097,0,2028-12-21,compute,westeurope
vm-scale-05,cpu_utilization,50.45134974976593,0.10658132130091834,58.865544017332816,62.062983656360366,65.26042329538791,0,2027-04-20,compute,eastus
vm-scale-06,cpu_utilization,51.30420278909305,0.07816941752500585,57.4510519319574,59.79613445770758,62.14121698345775,0,2027-07-19,compute,westeurope
vm-scale-07,cpu_utilization,54.71293458911393,0.015350774922470625,55.11645458527807,55.57697783295219,56.037501080626306,0,2031-03-12,compute,eastus
vm-scale-08,cpu_utilization,56.108437255430985,0.11379837139694053,58.81909946421674,62.23305060612496,65.64700174803318,0,2027-04-08,compute,centralus
vm-scale-09,cpu_utilization,54.62772976449683,0.11829863223862151,57.47986618428386,61.028825151442504,64.57778411860114,0,2027-04-12,compute,westeurope
