source,resource_id,metric_name,value,unit,timestamp,region,service_tag
azure_monitor,vm-prod-01,cpu_utilization,64.2,percent,2026-07-11 10:00:00,centralus,compute
azure_monitor,vm-prod-01,memory_utilization,52.5,percent,2026-07-11 10:00:00,centralus,compute
azure_cost,vm-prod-01,daily_cost,124.3,usd,2026-07-11 00:00:00,centralus,compute
azure_cost,vm-prod-01,monthly_cost,3729.0,usd,2026-07-11 00:00:00,centralus,compute
datadog,svc-api-gateway,request_rate,1340.8,rpm,2026-07-11 10:05:00,eastus2,api
datadog,svc-api-gateway,error_rate,1.2,percent,2026-07-11 10:05:00,eastus2,api
azure_monitor,vm-prod-01,cpu_utilization,45.495609215989575,percent,2026-06-12 06:45:40.188464,centralus,compute
azure_monitor,vm-prod-01,memory_utilization,55.132045543747815,percent,2026-06-12 06:45:40.188464,centralus,compute
azure_monitor,vm-dev-01,cpu_utilization,6.2867930621090355,percent,2026-06-12 06:45:40.188464,centralus,development
azure_monitor,vm-dev-01,memory_utilization,11.517742334901822,percent,2026-06-12 06:45:40.188464,centralus,development
azure_monitor,vm-prod-02,cpu_utilization,36.80534818839154,percent,2026-06-12 06:45:40.188464,centralus,compute
azure_monitor,vm-prod-02,memory_utilization,59.394325221352226,percent,2026-06-12 06:45:40.188464,centralus,compute
datadog,svc-api-gateway,request_rate,1232.0650259668678,rpm,2026-06-12 06:45:40.188464,eastus2,api
datadog,svc-api-gateway,error_rate,0.6483071980265989,percent,2026-06-12 06:45:40.188464,eastus2,api
azure_monitor,vm-prod-01,cpu_utilization,43.32081257728859,percent,2026-06-12 07:45:40.188464,centralus,compute
azure_monitor,vm-prod-01,memory_utilization,53.72957089494668,percent,2026-06-12 07:45:40.188464,centralus,compute
azure_monitor,vm-dev-01,cpu_utilization,9.474113026988968,percent,2026-06-12 07:45:40.188464,centralus,development
azure_monitor,vm-dev-01,memory_utilization,11.636674218883577,percent,2026-06-12 07:45:40.188464,centralus,development
azure_monitor,vm-prod-02,cpu_utilization,36.85229275147191,percent,2026-06-12 07:45:40.188464,centralus,compute
azure_monitor,vm-prod-02,memory_utilization,59.45330360476085,percent,2026-06-12 07:45:40.188464,centralus,compute
datadog,svc-api-gateway,request_rate,1107.2960514664046,rpm,2026-06-12 07:45:40.188464,eastus2,api
datadog,svc-api-gateway,error_rate,0.6970391256604369,percent,2026-06-12 07:45:40.188464,eastus2,api
azure_monitor,vm-prod-01,cpu_utilization,40.26168994143534,percent,2026-06-12 08:45:40.188464,centralus,compute
azure_monitor,vm-prod-01,memory_utilization,53.54040850682846,percent,2026-06-12 08:45:40.188464,centralus,compute
azure_monitor,vm-dev-01,cpu_utilization,9.908401707272393,percent,2026-06-12 08:45:40.188464,centralus,development
azure_monitor,vm-dev-01,memory_utilization,11.492683243285942,percent,2026-06-12 08:45:40.188464,centralus,development
azure_monitor,vm-prod-02,cpu_utilization,33.146367712684345,percent,2026-06-12 08:45:40.188464,centralus,compute
azure_monitor,vm-prod-02,memory_utilization,60.64093567380633,percent,2026-06-12 08:45:40.188464,centralus,compute
datadog,svc-api-gateway,request_rate,1227.0426242855121,rpm,2026-06-12 08:45:40.188464,eastus2,api
datadog,svc-api-gateway,error_rate,0.6855261617208555,percent,2026-06-12 08:45:40.188464,eastus2,api
azure_monitor,vm-prod-01,cpu_utilization,41.511633763164916,percent,2026-06-12 09:45:40.188464,centralus,compute
azure_monitor,vm-prod-01,memory_utilization,56.34902358772206,percent,2026-06-12 09:45:40.188464,centralus,compute
azure_monitor,vm-dev-01,cpu_utilization,8.472456885489565,percent,2026-06-12 09:45:40.188464,centralus,development
azure_monitor,vm-dev-01,memory_utilization,12.54204191383394,percent,2026-06-12 09:45:40.188464,centralus,development
azure_monitor,vm-prod-02,cpu_utilization,35.99332534667856,percent,2026-06-12 09:45:40.188464,centralus,compute
azure_monitor,vm-prod-02,memory_utilization,60.29456217896971,percent,2026-06-12 09:45:40.188464,centralus,compute
datadog,svc-api-gateway,request_rate,1286.0277109447827,rpm,2026-06-12 09:45:40.188464,eastus2,api
datadog,svc-api-gateway,error_rate,0.5697357335027855,percent,2026-06-12 09:45:40.188464,eastus2,api
azure_monitor,vm-prod-01,cpu_utilization,40.315173767202126,percent,2026-06-12 10:45:40.188464,centralus,compute
azure_monitor,vm-prod-01,memory_utilization,53.03701623600998,percent,2026-06-12 10:45:40.188464,centralus,compute
azure_monitor,vm-dev-01,cpu_utilization,7.487254787912294,percent,2026-06-12 10:45:40.188464,centralus,development
azure_monitor,vm-dev-01,memory_utilization,11.24734707976753,percent,2026-06-12 10:45:40.188464,centralus,development
azure_monitor,vm-prod-02,cpu_utilization,34.8692247858822,percent,2026-06-12 10:45:40.188464,centralus,compute
azure_monitor,vm-prod-02,memory_utilization,60.202031292518676,percent,2026-06-12 10:45:40.188464,centralus,compute
datadog,svc-api-gateway,request_rate,1217.9342325374316,rpm,2026-06-12 10:45:40.188464,eastus2,api
datadog,svc-api-gateway,error_rate,0.581698826953866,percent,2026-06-12 10:45:40.188464,eastus2,api
azure_monitor,vm-prod-01,cpu_utilization,43.94400559381099,percent,2026-06-12 11:45:40.188464,centralus,compute
